TONE MODEL NAME,STOMP NAME,AMP NAME,CAB NAME,"CAB CONFIG",MIC 1,MIC 2
In Your Face,Sansamp RBI,,,,,
The Fridge,,Ampeg SVT-CL,Ampeg SVT 810-E,8x10,SM57,U87
15Driven,,Ampeg B-15N,Ampeg B15-N,1x15,MD421,414
2001 Years Ago,,Gallien Krueger 2001-RB,"Gallien Krueger NEO 410",4x10,U87,
360 Deal,,Acoustic 360,Orange OBC810,8x10,E609,U87
50 Years Ago,,Acoustic 360,Ampeg SVT-810E,8x10,SM57,U87
810Rock,"Sansamp Bass Driver DI",Ampeg SVT-VR,"Ampeg SVT-810 AV",8x10,414,R121
A Bright Future,,Gallien Krueger 2001-RB,"Gallien Krueger NEO 410",4x10,SM57,MD421
Above The Clouds,,Ampeg SVT-VR,Ampeg SVT 810-E,8x10,MD421,
All In One,"Darkglass Microtubes X Ultra",,,,,
Bee Dist,"Sansamp Bass Driver DI",Ampeg SVT-VR,"Ampeg SVT-810 AV",8x10,414,Velo-8
Bee Seven,"Darkglass Microtubes B7K",,,,,
Bite and Snarl,Distressor,Acoustic 360,Ampeg SVT-810E,8x10,E609,U87
Black Mice,ProCo Rat,Ampeg BA500,"Ampeg SVT-410 HLF",4x10,MD421,U67
Bound To The Bass,,Gallien Krueger 2001-RB,"Gallien Krueger NEO 410",4x10,U87,
Brighter Than Light,,Gallien Krueger 2001-RB,"Gallien Krueger NEO 410",4x10,SM57,U87
Chubby Bass,ProCo RAT,Ampeg SVT II Pro,"FBT Superbass 250W",1x15,RE20,U87
Clean And Polite,,Ampeg B15RW Portaflex,"Ampeg B15RW Portaflex",1x15,SM57,U87
"Compressed to Excess",Sansamp RBI,,,,,
Contour Culture,,Gallien Krueger 800RB,Aguilar DB410,4x10,SM57,U87
Crunchy Bar,,Gallien Krueger 800RB,Aguilar DB410,4x10,SM57,MD421
Cut Through,ProCo RAT,Ampeg SVT II Pro,"FBT Superbass 250W",1x15,RE20,U87
Distant Belly Clinton,,Ampeg SVT II Pro,"FBT Superbass 250W",1x15,RE20,"C4141m"
Driven But Moderate,Boss GE-7,Fender TBP-1,Fender 810 PRO,8x10,414,R121
Dust Off Your Sub,,Ampeg SVT II Pro,"FBT Superbass 250W",1x15,RE20,U87
Eagle eyes,Compressor,Aguilar DB750,Trace Elliot 4x10,4x10,441,SM57
"Eight By Ten Times Two","Chandler Tube Driver",Fender Bassman 300,Fender 810 PRO,8x10,D20,MD421
Eight Hundred Kilos,,Gallien Krueger 800RB,Aguilar DB410,4x10,SM57,MD421
Eighty Inches,,Fender Bassman 300,Fender 810 PRO,8x10,R121,
Fat Dist Bass,Boss DS-1,Ampeg SVT II Pro,"FBT Superbass 250W",1x15,RE20,U87
Fifth Cut,,Ampeg B15RW Portaflex,"Ampeg B15RW Portaflex",1x15,MD421,U87
Flagship Cleans,,Gallien Krueger 2001-RB,"Gallien Krueger NEO 410",4x10,MD421,U87
Flat Clinton,,Ampeg SVT II Pro,"FBT Superbass 250W",1x15,RE20,U87
Flexing The Bar,,Ampeg B15RW Portaflex,"Ampeg B15RW Portaflex",1x15,MD421,U87
Four Four Four,Ampeg SCP-OD,Ampeg SVT-4PRO,"Ampeg SVT-410 HLF",4x10,RE20,U67
Fourth Impact,,Ampeg B15RW Portaflex,"Ampeg B15RW Portaflex",1x15,SM57,U87
Freshest Strings,Distressor,Fender Bassman 300,Trace Elliot 4x10,4x10,414,441
Fridge Delivery,Ampeg SCP-OD,Fender Bassman 300,Fender 810 PRO,8x10,D20,U67
Fun With Myself,,Ampeg SVT II Pro,"FBT Superbass 250W",1x15,RE20,U87
Fuzz Cloud,,Gallien Krueger 800RB,Aguilar DB410,4x10,SM57,U87
Gentleman's Clean,,Gallien Krueger 800RB,Aguilar DB410,4x10,SM57,MD421
Get Out Of My Way,,Ampeg SVT II Pro,"FBT Superbass 250W",1x15,RE20,U87
"Gimme Some Definition","Aphex Aural Exciter Type C2",Ampeg SVT II Pro,"FBT Superbass 250W",1x15,RE20,U87
Give Me Mids,,Ampeg SVT-VR,Ampeg SVT 810-E,8x10,MD421,
Glassy and Thick,"MXR 10 band EQ",Solid State Bass Preamp,Ampeg B15,1x15,D20,RE20
Grindy Lows,"Darkglass Microtubes X Ultra",,,,,
High gain Bass,Boss DS-1,Ampeg SVT II Pro,"FBT Superbass 250W",1x15,RE20,U87
High Remover Crunch,ProCo RAT,Ampeg SVT II Pro,"FBT Superbass 250W",1x15,RE20,U87
Just Right,Distressor,Ampeg B-15N,Ampeg B15-N,1x15,414,SM57
Justice's Balance,,Ampeg SVT-VR,Ampeg SVT 810-E,8x10,MD421,U87
Lesser Driver,"Darkglass Microtubes X Ultra",,,,,
Light Sleeper,,Gallien Krueger 2001-RB,"Gallien Krueger NEO 410",4x10,SM57,MD421
LowPassFun,"Distressor, MXR Dynacomp",Aguilar DB750,Aguilar DB410,4x10,Velo-8,R121
Lucid Dreams,,Ampeg SVT-VR,Ampeg SVT 810-E,8x10,SM57,U87
Manipulator,,Ampeg B15RW Portaflex,"Ampeg B15RW Portaflex",1x15,SM57,U87
Me(n)tal Clarity,,Gallien Krueger 2001-RB,"Gallien Krueger NEO 410",4x10,MD421,
Median Balance,,Gallien Krueger 800RB,Aguilar DB410,4x10,MD421,
Middleman's Wish,,Ampeg B15RW Portaflex,"Ampeg B15RW Portaflex",1x15,MD421,
Modern Bass,"Darkglass Microtubes B7K",,,,,
Muscle Flex,,Ampeg B15RW Portaflex,"Ampeg B15RW Portaflex",1x15,MD421,U87
Neon Mids,,Gallien Krueger 2001-RB,"Gallien Krueger NEO 410",4x10,U87,
No More Time,"Electro Harmonix Big Muff",Ampeg SVT-4PRO,"Ampeg SVT-410 HLF",4x10,RE20,U67
No Need For Guitarist,Boss DS-1,Ampeg SVT II Pro,"FBT Superbass 250W",1x15,RE20,U87
Nosedive,Sansamp RBI,,,,,
Old School Grind,,Acoustic 360,Ampeg SVT-810E,8x10,MD421,U87
Panzerbass,"Darkglass Microtubes X Ultra",,,,,
Pave The Way,"Sansamp Bass Driver DI",Fender Bassman 300,Trace Elliot 4x10,4x10,414,"CMV-563"
Pick Users Rejoice,"Darkglass Microtubes X Ultra",,,,,
Portable Fridge,,Ampeg B15RW Portaflex,"Ampeg B15RW Portaflex",1x15,MD421,SM57
Rattling Ground,"Wampler Pinnacle Deluxe",Ampeg BA500,Ampeg BA500,2x10,MD421,U67
Reality Shift,,Ampeg SVT-VR,"Ampeg SVT-810 AV",8x10,414,R121
Right But Hated,,Gallien Krueger 2001-RB,"Gallien Krueger NEO 410",4x10,SM57,U87
Right In The Mids,,Ampeg B15RW Portaflex,"Ampeg B15RW Portaflex",1x15,SM57,U87
Rock Heritage,,Ampeg B15RW Portaflex,"Ampeg B15RW Portaflex",1x15,SM57,MD421
Rooftop View,,Ampeg SVT-VR,Ampeg SVT 810-E,8x10,SM57,MD421
Roundabout,,Ampeg SVT II Pro,"FBT Superbass 250W",1x15,RE20,U87
Screaming Lows,"Ibanez Tube Screamer",Ampeg V-4B,"Ampeg SVT-212 AV",2x12,RE20,R121
Second Judgement,,Ampeg SVT-VR,Ampeg SVT 810-E,8x10,SM57,MD421
Shake My Basement,,Ampeg SVT II Pro,"FBT Superbass 250W",1x15,RE20,U87
Slap Me,,Gallien Krueger 2001-RB,"Gallien Krueger NEO 410",4x10,SM57,U87
Snarly Slap,"Distressor, MXR Dynacomp",Gallien Krueger MB150S,"Gallien Krueger MB150S",1x15,414,
So Dark,,Fender Bassman 300,Aguilar DB410,4x10,M160,R121
Strong Bass,,Ampeg SVT II Pro,"FBT Superbass 250W",1x15,RE20,U87
Submarine Bass,,Ampeg SVT II Pro,"FBT Superbass 250W",1x15,RE20,U87
SubMaster,,Gallien Krueger 800RB,Aguilar DB410,4x10,U87,
Subs Galore,"MXR 10 band EQ, MXR Dynacomp",Gallien Krueger MB150S,"Gallien Krueger MB150S",1x15,Velo-8,
Swedish Subs,Boss HM-2,Ampeg B-15R,Ampeg B-15R,1x15,MD421,R121
Tee For Bee,"Wampler Pinnacle Deluxe",Ampeg V-4B,Orange OBC810,8x10,MD421,U67
That's My Sausage,"Boss DS-1 + ProCo RAT",Ampeg SVT II Pro,"FBT Superbass 250W",1x15,RE20,U87
The Albatross,,Aguilar DB750,Aguilar DB410,4x10,MD421,
The Condor,,Aguilar DB750,Aguilar DB410,4x10,U87,MD421
The Eagle,,Aguilar DB750,Aguilar DB410,4x10,SM57,MD421
The Pelican,,Aguilar DB750,Aguilar DB410,4x10,SM57,U87
The Sparrow,,Aguilar DB750,Aguilar DB410,4x10,MD421,U87
The Vulture,,Aguilar DB750,Aguilar DB410,4x10,SM57,U87
UltraXFuzz,"Darkglass Microtubes X Ultra",,,,,
Under The Cab,,Ampeg SVT-VR,Ampeg SVT 810-E,8x10,MD421,U87
Upper Subs,"Darkglass Microtubes X Ultra",,,,,
Virtual Fuzz,Distressor,Ampeg SVT-VR,"Ampeg SVT-810 AV",8x10,414,R121
Virtual Nightmare,,Ampeg SVT-VR,Ampeg SVT 810-E,8x10,SM57,MD421
Virtual Reality,,Ampeg SVT-VR,Ampeg SVT 810-E,8x10,SM57,U87
Warm And Cozy,,Ampeg SVT-VR,Ampeg SVT 810-E,8x10,MD421,U87
Back To The Roots,Distressor,Orange AD200,Ampeg B15,1x15,R121,
Bass Above All,"Darkglass Microtubes B7K",,,,,
Berry Drink,"Fender Sub-Lime",Orange AD200,Orange 810,8x10,MD421,U87
Bright Tangerine,,Orange AD200,Orange 810,8x10,SM57,
Crunchy Carrot,,Orange AD200,Orange 810,8x10,MD421,U87
Crystal Clear,Distressor,Orange AD200,"Ampeg SVT-810 AV",8x10,E609,U87
Dark For Real,"Darkglass Microtubes B7K",,,,,
Deeper and Lower,"Darkglass Microtubes B7K",,,,,
Doom Stack,"Electro Harmonix Big Muff",Orange AD200,Orange OBC810,8x10,MD421,R121
Earthly Rumble,,Orange AD200,Orange OBC115,1x15,E609,U87
Eight Pumpkins,,Orange AD200,Orange 810,8x10,MD421,U87
Fat Tubes,"Darkglass Microtubes B7K",,,,,
Instant Pick,Sansamp RBI,,,,,
Lime Cocktail,"Fender Sub-Lime",Orange AD200,Orange 810,8x10,SM57,MD421
Mids To Zero,Sansamp RBI,,,,,
Punk Soloist,"Darkglass Microtubes B7K",,,,,
Raw Metals,"Darkglass Microtubes B7K",,,,,
Red And Honey,"Electro Harmonix Big Muff",Orange AD200,Orange 810,8x10,SM57,U87
Red Bass Industries,Sansamp RBI,,,,,
Rusty Fridge,,Orange AD200,Orange 810,8x10,MD421,
Seven Knobs,"Darkglass Microtubes B7K",,,,,
The Cantaloupe,,Orange AD200,Orange 810,8x10,U87,
The Grunt,"Darkglass Microtubes B7K",,,,,
The Punk Show,"Distressor, Sansamp BassDriver",Orange AD200,"Ampeg SVT-810 AV",8x10,R121,U87
Tiger With No Stripes,,Orange AD200,Orange 810,8x10,MD421,U87
Treble Enjoyer,"Darkglass Microtubes B7K",,,,,
Tube Ender,Sansamp RBI,,,,,
Tunnel Vision,Ampeg SCP-OD,Orange AD200,Orange OBC115,1x15,SM57,U67
All Mids No Play,Diode Overdrive,Ampeg SVT-CL,Orange OBC410,4x10,RE20,U87
Always Right,Sansamp RBI,,,,,
Below The Surface,,Ampeg SVT-CL,Ampeg SVT 810-E,8x10,MD421,U87
Capital Sin,,Ampeg SVT-CL,Ampeg SVT 810-E,8x10,SM57,MD421
Classic Scoop,,Ampeg SVT-CL,Ampeg SVT 810-E,8x10,SM57,U87
Clay Boy,"T-Rex Mudhoney",Ampeg SVT-CL,Ampeg SVT-810E,8x10,RE20,U87
Driven To Success,"Sansamp Bass Driver DI",Ampeg SVT-CL,Ampeg SVT-810E,8x10,MD421,U67
Five Scoops,,Ampeg SVT-CL,Ampeg SVT 810-E,8x10,MD421,U87
Fourth Distortion,,Ampeg SVT-CL,Ampeg SVT 810-E,8x10,SM57,MD421
Gently Arrogant,"Electro Harmonix Big Muff",Ampeg SVT-CL,Ampeg SVT-810E,8x10,MD421,U67
Gift Of Mids,,Ampeg SVT-CL,Ampeg SVT 810-E,8x10,MD421,U87
Hybrid Blizzard,,Peavey 5150,Marshall 412,4x12,SM57,MD421
Parallel Bass,"Sansamp Bass Driver DI",Ampeg SVT-CL,Ampeg SVT-810E,8x10,MD421,U67
Shameless Dirt,"Electro Harmonix Big Muff",Ampeg SVT-CL,Ampeg SVT-810E,8x10,MD421,U67
Third Wheel,,Ampeg SVT-CL,Ampeg SVT 810-E,8x10,MD421,U87
To The Basement,,Ampeg SVT-CL,Ampeg SVT 810-E,8x10,U87,
